Interval,experiment ID,Order correctness,correct odr,actual odr,request time from VM,start time from Lambda,expected invocation time,actual invocation time,DELTA,Distribution,
,7b8bef93-9364-4e1f-8957-e28084647726,,Worker3,Worker3,1733880591601,1733880591649,500,498,2,,
,7b8bef93-9364-4e1f-8957-e28084647726,,Worker1,Worker1,1733880591700,1733880591719,600,568,32,,
,7b8bef93-9364-4e1f-8957-e28084647726,,Worker2,Worker2,1733880591800,1733880591840,700,689,11,,
,7b8bef93-9364-4e1f-8957-e28084647726,,Worker3,Worker3,1733880591901,1733880591950,800,799,1,,
100ms,fd08b155-e798-48ec-a23e-512aa1efaf6f,FALSE,Worker1,Worker1,1733880630101,1733880630149,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker2,Worker2,1733880630200,1733880630353,100,204,104,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker3,Worker1,1733880630300,1733880630422,200,273,73,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker1,Worker3,1733880630401,1733880630442,300,293,7,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker2,Worker2,1733880630500,1733880630546,400,397,3,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker3,Worker3,1733880630600,1733880630641,500,492,8,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker1,Worker1,1733880630701,1733880630718,600,569,31,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker2,Worker2,1733880630801,1733880630843,700,694,6,,
,fd08b155-e798-48ec-a23e-512aa1efaf6f,,Worker3,Worker3,1733880630900,1733880630940,800,791,9,,
100ms,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,FALSE,Worker1,Worker1,1733880671101,1733880671148,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker2,Worker2,1733880671201,1733880671360,100,212,112,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker3,Worker1,1733880671300,1733880671421,200,273,73,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker1,Worker3,1733880671401,1733880671445,300,297,3,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker2,Worker2,1733880671501,1733880671548,400,400,0,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker3,Worker3,1733880671600,1733880671637,500,489,11,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker1,Worker1,1733880671701,1733880671721,600,573,27,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker2,Worker2,1733880671801,1733880671843,700,695,5,,
,2e9f778d-16bd-4a83-bd23-2410bb1d4fb1,,Worker3,Worker3,1733880671901,1733880671938,800,790,10,,
100ms,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,FALSE,Worker1,Worker1,1733880711101,1733880711150,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker2,Worker2,1733880711201,1733880711346,100,196,96,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker3,Worker1,1733880711300,1733880711422,200,272,72,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker1,Worker3,1733880711401,1733880711442,300,292,8,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker2,Worker2,1733880711500,1733880711534,400,384,16,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker3,Worker3,1733880711600,1733880711639,500,489,11,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker1,Worker1,1733880711701,1733880711724,600,574,26,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker2,Worker2,1733880711800,1733880711834,700,684,16,,
,27ecf3c2-4dfd-4e7f-9175-48e4d21f02e8,,Worker3,Worker3,1733880711900,1733880711941,800,791,9,,
100ms,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,FALSE,Worker1,Worker1,1733880751101,1733880751148,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker2,Worker2,1733880751201,1733880751353,100,205,105,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker3,Worker1,1733880751300,1733880751420,200,272,72,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker1,Worker3,1733880751401,1733880751444,300,296,4,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker2,Worker2,1733880751500,1733880751540,400,392,8,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker3,Worker3,1733880751600,1733880751637,500,489,11,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker1,Worker1,1733880751701,1733880751722,600,574,26,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker2,Worker2,1733880751800,1733880751841,700,693,7,,
,72f3c9bf-af8f-4490-ae19-7cb34ac3d01c,,Worker3,Worker3,1733880751900,1733880751940,800,792,8,,
100ms,7086aceb-70f0-48e3-a8ff-5d2118a871d4,FALSE,Worker1,Worker1,1733881165101,1733881165148,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker2,Worker2,1733881165200,1733881165345,100,197,97,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker3,Worker1,1733881165301,1733881165423,200,275,75,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker1,Worker3,1733881165401,1733881165442,300,294,6,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker2,Worker2,1733881165500,1733881165536,400,388,12,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker3,Worker3,1733881165601,1733881165641,500,493,7,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker1,Worker1,1733881165701,1733881165721,600,573,27,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker2,Worker2,1733881165801,1733881165836,700,688,12,,
,7086aceb-70f0-48e3-a8ff-5d2118a871d4,,Worker3,Worker3,1733881165901,1733881165942,800,794,6,,
100ms,84ffc908-576d-4c26-95ec-ad6774a31771,FALSE,Worker1,Worker1,1733881204100,1733881204148,0,0,0,"same country (us-east-1f, us-west-1c, us-west-2d)",
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker2,Worker2,1733881204200,1733881204342,100,194,94,,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker3,Worker1,1733881204300,1733881204420,200,272,72,,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker1,Worker3,1733881204400,1733881204449,300,301,1,,
,84ffc908-576d-4c26-95ec-ad6774a31771,,Worker2,Worker2,1733881204501,1733881204533,400,385,15,,
